StudyID,ArticleCounter,ExperimentCounter,No.,CoderID,ArticleID,StudyNo,StudyType,Experimental_Drug,Manipulation,EffectSizeID,Year,PublicationStatus,PublicationType,Journal,Title,Author,CorrespondenceEmail,DOI,ArticleSource,CountryofOrigin,Continent,SampleNo,SampleSize,Female,FemaleRatio,MeanAge,StudyDesign,IBASampleInfo,IBASampleRandomization,IBAInclusion,IBAExclusion,IBAManipulationInfo,IBADVInfo,IBABaselineTraumaHistory,IBADiaryCodingReliability,IBAAnalysisPlan,IBAPeerReviewed,IBATraumaManipulationCheck,TotalIBAScore,StatExtracted,ExperimentalCondition,Level1_ExperimentalCondition,Intrusion_Predicted_Direction,ComparisonCondition,Level1_ComparisonCondition,Level2_final,Level3_Type_final,Level3_Task_Instruction_final,ComparisonType,ExperimentalConditionSampleSize,ComparisonConditionSampleSize,StudySampleSize,TimeOfManipulation,TraumaInductionStimuli,EncodingTask,StimuliNo.,StimuliDuration,DependentVariables,DependentVariablesType,DVTask,ModeOfMeasurement,TimeOfMeasurement,MeasurementDuration,Intrusion_Retro_or_RealTime,Intrusion_Content,ManipulationBeneficial,ResultSummary,PhysioMeasures,ClinicalSymptomMeasures,VoluntaryMemoryMeasure,VoluntaryMemoryDirection,Experimental_Mean,Experimental_SE,Experimental_SD,Comparison_Mean,Comparison_SE,Comparison_SD,GroupDifference,T-test,Z-test,pvalue,EffectSize,EffectSizeType,Notes,Mo_Windy_Common,Notes_fromWindy,DirectionSign,DirectionSignMo,TraumaStimuliType,Physio_binary,Level3_Beh_Pharma_Neuro,Level3_Direct_Indirect,Level3_Imagery_Verbal_Emotion_Other,Level3_Task_Instruction
3,,1,11,MMV & SZ,2,2,Behavioural,NA,Single key tapping task,11,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,4,80,39,0.4875,24,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,"Table 2, page 12",Single tapping,Finger tapping,Decrease,No-task,No-Task,Finger tapping,Indirect Imagery,Task,No-Task,20,20,40,Peri,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Not Reported,Not Reported,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,5.5,Not Reported,5.11,6.65,Not Reported,8.36,-1.15,Not Reported,NA,Not Reported,Not Reported,Not Reported,Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. T-tests stats Not Reported for single key tapping and control group comparison. Got sample info from the author via email,1,,,,Film,Yes,Behavioural,Indirect,Imagery,Task
3,,,12,MMV & SZ,2,2,Behavioural,NA,Visuospatial tapping task,12,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,4,80,39,0.4875,24,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,"Table 2, page 12",Minimally practiced tapping,Finger tapping,Decrease,No-task,No-Task,Finger tapping,Indirect Imagery,Task,No-Task,20,20,40,Peri,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Positive,Overpracticed visuospatial tapping significantly reduced intrusions compared to control condition,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,3.7,Not Reported,3.28,6.65,Not Reported,8.36,-2.95,t(76) = 1.71,NA,0.092,0.4,Cohen's d,Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. Got sample info from the author via email,1,,,,Film,Yes,Behavioural,Indirect,Imagery,Task
3,,,13,MMV & SZ,2,2,Behavioural,NA,Overpracticed visuospatial tapping task,13,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,4,80,39,0.4875,24,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,"Table 2, page 12",Overpracticed tapping,Finger tapping,Decrease,No-task,No-Task,Finger tapping,Indirect Imagery,Task,No-Task,20,20,40,Peri,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Positive,Visuospatial tapping significantly reduced intrusions compared to control condition,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,3.25,Not Reported,3.55,6.65,Not Reported,8.36,-3.4,t(76) = 1.97,NA,0.06,0.35,Cohen's d,Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. Got sample info from the author via email,1,,,,Film,Yes,Behavioural,Indirect,Imagery,Task
3,,,14,MMV & SZ,2,2,Behavioural,NA,Single key tapping task,14,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,4,80,39,0.4875,24,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,Not Reported,Single tapping,Finger tapping,Decrease,No-task,No-Task,Finger tapping,Indirect Imagery,Task,No-Task,20,20,40,Peri,Trauma film,Trauma film,5,12.5min,Mean Emotional Distress,Emotion,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Not Reported,Not Reported,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,#VALUE!,Not Reported,NA,Not Reported,Not Reported,Not Reported,Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. T-tests stats Not Reported for single key tapping and control group comparison. Nor the descriptives for intrusion distress Got sample info from the author via email,1,,,,Film,Yes,Behavioural,Indirect,Imagery,Task
3,,,15,MMV & SZ,2,2,Behavioural,NA,Overpracticed visuospatial tapping task,15,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,4,80,39,0.4875,24,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,Not Reported,Overpracticed tapping,Finger tapping,Decrease,No-task,No-Task,Finger tapping,Indirect Imagery,Task,No-Task,20,20,40,Peri,Trauma film,Trauma film,5,12.5min,Mean Emotional Distress,Emotion,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Not Reported,Not Reported,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,#VALUE!,Not Reported,NA,Not Reported,Not Reported,Not Reported,Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. T-tests stats Not Reported for single key tapping and control group comparison. Nor the descriptives for intrusion distress Got sample info from the author via email,1,,,,Film,Yes,Behavioural,Indirect,Imagery,Task
3,,,16,MMV & SZ,2,2,Behavioural,NA,Visuospatial tapping task,16,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,4,80,39,0.4875,24,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,Not Reported,Minimally practiced tapping,Finger tapping,Decrease,No-task,No-Task,Finger tapping,Indirect Imagery,Task,No-Task,20,20,40,Peri,Trauma film,Trauma film,5,12.5min,Mean Emotional Distress,Emotion,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Not Reported,Not Reported,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,#VALUE!,Not Reported,NA,Not Reported,Not Reported,Not Reported,Sample size for each condition Not Reported and t tests df seem to not reflect comparison between two conditions because the total sample size was 80 and there were four conditions and df is reported as 76 for the t-tests. T-tests stats Not Reported for single key tapping and control group comparison. Nor the descriptives for intrusion distress Got sample info from the author via email,1,,,,Film,Yes,Behavioural,Indirect,Imagery,Task
4,,1,17,MMV & SZ,2,3,Behavioural,NA,Verbal interference task,17,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,3,60,33,0.55,26.5,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,"Table 3, page 16",Verbal interference task,Number counting,Increase,No-task,No-Task,Number counting,Indirect Verbal,Task,No-Task,20,20,40,Peri,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Negative,Verbal interference increased intrusions compared to control condition,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,9.7,Not Reported,10.47,3.1,Not Reported,3.6,6.6,t(23.4) = 2.66,NA,0.01,1.18,Cohen's d,Sample size for each condition Not Reported. Got sample info from the author via email,1,,,,Film,Yes,Behavioural,Indirect,Verbal,Task
4,,,18,MMV & SZ,2,3,Behavioural,NA,Verbal enhancement task,18,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,3,60,33,0.55,26.5,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,"Table 3, page 16",Verbal enhancement task,Verbalization during encoding,Decrease,No-task,No-Task,Verbalization during encoding,Direct Verbal,Task,No-Task,20,20,40,Peri,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Null,"Verbal enhancement and control condition did not significantly differ in terms of intrusion frequency, though the trend was verbal enhancement increased intrusions contrary to what was hypothesized.",Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,5.1,Not Reported,3.4,3.1,Not Reported,3.6,2,t(37.88) = 1.81,NA,0.08,Not Reported,Not Reported,Sample size for each condition Not Reported. Got sample info from the author via email,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
4,,,19,MMV & SZ,2,3,Behavioural,NA,Verbal interference task,19,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,3,60,33,0.55,26.5,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,Not Reported,Verbal interference task,Number counting,Increase,No-task,No-Task,Number counting,Indirect Verbal,Task,No-Task,20,20,40,Peri,Trauma film,Trauma film,5,12.5min,Mean Emotional Distress,Emotion,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Not Reported,Not Reported,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,#VALUE!,Not Reported,NA,Not Reported,Not Reported,Not Reported,Sample size for each condition Not Reported. Nor descriptives for intrusion distress Got sample info from the author via email,1,,,,Film,Yes,Behavioural,Indirect,Verbal,Task
4,,,20,MMV & SZ,2,3,Behavioural,NA,Verbal enhancement task,20,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,3,60,33,0.55,26.5,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,Not Reported,Verbal enhancement task,Verbalization during encoding,Decrease,No-task,No-Task,Verbalization during encoding,Direct Verbal,Task,No-Task,20,20,40,Peri,Trauma film,Trauma film,5,12.5min,Mean Emotional Distress,Emotion,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Not Reported,Not Reported,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,#VALUE!,Not Reported,NA,Not Reported,Not Reported,Not Reported,Sample size for each condition Not Reported. Nor descriptives for intrusion distress Got sample info from the author via email,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
5,1,1,21,SZ,3,1,Behavioural,NA,?Imagery rescripting,21,2012,Published,Journal Article,Journal of Behavior Therapy and Experimental Psychiatry,Reduced intrusion development after post-trauma imagery rescripting; An experimental study,"Hagenaars, M. A., & Arntz, A.",?mhagenaars@fsw.leidenuniv.nl ,?10.1016/j.jbtep.2011.09.005,Others,Netherlands,Europe,3,76,47,0.618421053,21.4,Between-subject,1,1,1,1,1,1,1,1,1,1,1,11,"page 811, Table 1",Imagery rescripting,Imagery rescripting,Decrease,Imagery reexperiencing,Imagery re-experience,Imagery rescripting vs. Imagery re-experience,Direct Imagery,Task,Experimental Task,24,25,49,Immediate Post,Trauma film,Trauma film,4,10min,Intrusion Frequency,Involuntary memory,?Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image,Positive,?IRS condition experienced fewer intrusive memories of the film than those in the PI and IRE,NA,"?Structured Clinical Interview for
DSM-IV (SCID-I; ?Posttraumatic Cognitions Inventory",Yes,Null,1.96,,2.14,6.2,,5.84,-4.24,Not provided,,0.004,0.87,Cohen's d,,sample,,,,Film,No,Behavioural,Direct,Imagery,Task
